fstat	df	pvalue
2.6	4	0.1821584
2.6	5	0.1677819
2.6	6	0.1579903
2.6	7	0.1508987
2.6	8	0.1455286
2.6	9	0.1413225
2.6	10	0.1379396
2.6	11	0.1351603
2.6	12	0.1328365
2.6	13	0.1308648
2.6	14	0.1291709
2.6	15	0.1277002
2.6	16	0.1264111
2.6	17	0.1252721
2.6	18	0.1242584
2.6	19	0.1233505
2.6	20	0.1225325
2.6	21	0.1217919
2.6	22	0.121118
2.6	23	0.1205023
2.6	24	0.1199376
2.6	25	0.1194178
2.6	26	0.1189377
2.6	27	0.1184929
2.6	28	0.1180798
2.6	29	0.117695
2.6	30	0.1173357
2.7	1	0.3480432
2.7	2	0.2420633
2.7	3	0.1988922
2.7	4	0.1756931
2.7	5	0.1612698
2.7	6	0.151454
2.7	7	0.1443493
2.7	8	0.1389721
2.7	9	0.1347622
2.7	10	0.1313776
2.7	11	0.1285976
2.7	12	0.1262739
2.7	13	0.1243028
2.7	14	0.1226097
2.7	15	0.1211399
2.7	16	0.1198519
2.7	17	0.1187141
2.7	18	0.1177015
2.7	19	0.1167947
2.7	20	0.1159778
2.7	21	0.1152382
2.7	22	0.1145654
2.7	23	0.1139507
2.7	24	0.113387
2.7	25	0.112868
2.7	26	0.1123888
2.7	27	0.1119449
2.7	28	0.1115326
2.7	29	0.1111485
2.7	30	0.11079
2.8	1	0.3429238
2.8	2	0.2362374
2.8	3	0.1928578
2.8	4	0.169579
2.8	5	0.1551216
2.8	6	0.1452907
2.8	7	0.13818
2.8	8	0.1328011
2.8	9	0.1285918
2.8	10	0.125209
2.8	11	0.1224315
2.8	12	0.1201104
2.8	13	0.1181421
2.8	14	0.1164518
2.8	15	0.1149847
2.8	16	0.1136993
2.8	17	0.1125639
2.8	18	0.1115537
2.8	19	0.1106491
2.8	20	0.1098343
2.8	21	0.1090967
2.8	22	0.1084257
2.8	23	0.1078128
2.8	24	0.1072507
2.8	25	0.1067333
2.8	26	0.1062556
2.8	27	0.1058131
2.8	28	0.1054021
2.8	29	0.1050193
2.8	30	0.104662
2.9	1	0.3380257
2.9	2	0.2306907
2.9	3	0.1871312
2.9	4	0.16379
2.9	5	0.1493101
2.9	6	0.1394726
2.9	7	0.1323622
2.9	8	0.1269867
2.9	9	0.1227822
2.9	10	0.1194045
2.9	11	0.1166322
2.9	12	0.1143163
2.9	13	0.1123528
2.9	14	0.1106671
2.9	15	0.1092042
2.9	16	0.1079228
2.9	17	0.1067911
2.9	18	0.1057843
2.9	19	0.1048829
2.9	20	0.1040712
2.9	21	0.1033363
2.9	22	0.102668
2.9	23	0.1020575
2.9	24	0.1014977
2.9	25	0.1009825
2.9	26	0.1005068
2.9	27	0.1000663
2.9	28	0.09965707
2.9	29	0.099276
2.9	30	0.09892026
3	1	0.3333333
3	2	0.2254033
3	3	0.1816901
3	4	0.1583024
3	5	0.1438108
3	6	0.1339746
3	7	0.1268704
3	8	0.1215029
3	9	0.1173068
3	10	0.1139374
3	11	0.111173
3	12	0.1088643
3	13	0.1069075
3	14	0.1052281
3	15	0.1037709
3	16	0.1024948
3	17	0.1013679
3	18	0.1003656
3	19	0.09946836
3	20	0.09866045
3	21	0.09792919
3	22	0.09726418
3	23	0.09665681
3	24	0.09609991
3	25	0.09558744
3	26	0.09511429
3	27	0.0946761
3	28	0.09426915
3	29	0.0938902
3	30	0.09353647
3.1	1	0.3288325
3.1	2	0.220357
3.1	3	0.1765145
3.1	4	0.153095
3.1	5	0.1386015
3.1	6	0.1287737
3.1	7	0.1216811
3.1	8	0.116326
3.1	9	0.1121417
3.1	10	0.1087835
3.1	11	0.1060292
3.1	12	0.1037299
3.1	13	0.1017816
3.1	14	0.1001098
3.1	15	0.09865974
3.1	16	0.09739004
3.1	17	0.09626909
3.1	18	0.09527223
3.1	19	0.09437996
3.1	20	0.09357667
3.1	21	0.09284968
3.1	22	0.09218864
3.1	23	0.09158497
3.1	24	0.09103151
3.1	25	0.09052225
3.1	26	0.09005211
3.1	27	0.08961676
3.1	28	0.08921246
3.1	29	0.08883602
3.1	30	0.08848465
3.2	1	0.3245104
3.2	2	0.2155355
3.2	3	0.1715859
3.2	4	0.1481481
3.2	5	0.133662
3.2	6	0.1238492
3.2	7	0.1167732
3.2	8	0.1114343
3.2	9	0.1072651
3.2	10	0.1039205
3.2	11	0.1011786
3.2	12	0.09889048
3.2	13	0.09695229
3.2	14	0.09528965
3.2	15	0.09384783
3.2	16	0.09258566
3.2	17	0.09147158
3.2	18	0.09048101
3.2	19	0.08959452
3.2	20	0.08879655
3.2	21	0.08807449
3.2	22	0.08741801
3.2	23	0.08681856
3.2	24	0.08626905
3.2	25	0.08576347
3.2	26	0.08529678
3.2	27	0.08486464
3.2	28	0.08446337
3.2	29	0.08408978
3.2	30	0.08374109
3.3	1	0.3203554
3.3	2	0.2109236
3.3	3	0.1668879
3.3	4	0.1434443
3.3	5	0.1289738
3.3	6	0.119182
3.3	7	0.1121273
3.3	8	0.1068081
3.3	9	0.1026569
3.3	10	0.09932839
3.3	11	0.0966009
3.3	12	0.0943256
3.3	13	0.09239895
3.3	14	0.09074671
3.3	15	0.08931428
3.3	16	0.08806062
3.3	17	0.08695429
3.3	18	0.0859708
3.3	19	0.08509081
3.3	20	0.08429881
3.3	21	0.08358226
3.3	22	0.08293087
3.3	23	0.08233616
3.3	24	0.08179104
3.3	25	0.08128957
3.3	26	0.0808267
3.3	27	0.08039816
3.3	28	0.08000026
3.3	29	0.07962983
3.3	30	0.07928413
3.4	1	0.316357
3.4	2	0.206508
3.4	3	0.1624051
3.4	4	0.1389671
3.4	5	0.1245201
3.4	6	0.1147548
3.4	7	0.1077255
3.4	8	0.1024295
3.4	9	0.09829881
3.4	10	0.09498857
3.4	11	0.09227728
3.4	12	0.0900164
3.4	13	0.08810263
3.4	14	0.08646194
3.4	15	0.08503992
3.4	16	0.08379568
3.4	17	0.08269791
3.4	18	0.08172223
3.4	19	0.08084938
3.4	20	0.08006394
3.4	21	0.07935343
3.4	22	0.07870764
3.4	23	0.0781181
3.4	24	0.0775778
3.4	25	0.07708081
3.4	26	0.07662213
3.4	27	0.07619751
3.4	28	0.07580329
3.4	29	0.07543631
3.4	30	0.07509386
3.5	1	0.3125056
3.5	2	0.202276
3.5	3	0.1581237
3.5	4	0.1347019
3.5	5	0.1202854
3.5	6	0.1105517
3.5	7	0.1035517
3.5	8	0.09828173
3.5	9	0.09417409
3.5	10	0.0908841
3.5	11	0.08819068
3.5	12	0.08594563
3.5	13	0.08404596
3.5	14	0.08241788
3.5	15	0.08100719
3.5	16	0.07977319
3.5	17	0.0786847
3.5	18	0.07771748
3.5	19	0.07685236
3.5	20	0.07607402
3.5	21	0.07537005
3.5	22	0.07473029
3.5	23	0.07414634
3.5	24	0.07361123
3.5	25	0.07311908
3.5	26	0.07266491
3.5	27	0.07224451
3.5	28	0.07185424
3.5	29	0.07149098
3.5	30	0.07115202
3.6	1	0.3087923
3.6	2	0.1982163
3.6	3	0.1540309
3.6	4	0.1306351
3.6	5	0.1162555
3.6	6	0.1065582
3.6	7	0.09959092
3.6	8	0.09434977
3.6	9	0.09026733
3.6	10	0.0869994
3.6	11	0.08432537
3.6	12	0.08209743
3.6	13	0.08021295
3.6	14	0.07859844
3.6	15	0.07719993
3.6	16	0.07597691
3.6	17	0.07489837
3.6	18	0.0739402
3.6	19	0.07308335
3.6	20	0.0723126
3.6	21	0.0716156
3.6	22	0.07098227
3.6	23	0.07040429
3.6	24	0.06987471
3.6	25	0.0693877
3.6	26	0.06893834
3.6	27	0.06852242
3.6	28	0.06813636
3.6	29	0.06777705
3.6	30	0.06744181
3.7	1	0.3052089
3.7	2	0.1943184
3.7	3	0.1501151
3.7	4	0.1267542
3.7	5	0.1124175
3.7	6	0.1027607
3.7	7	0.09582944
3.7	8	0.09061961
3.7	9	0.08656438
3.7	10	0.08332015
3.7	11	0.08066687
3.7	12	0.07845721
3.7	13	0.07658893
3.7	14	0.07498885
3.7	15	0.07360328
3.7	16	0.0723919
3.7	17	0.07132391
3.7	18	0.07037533
3.7	19	0.06952723
3.7	20	0.06876449
3.7	21	0.06807487
3.7	22	0.06744834
3.7	23	0.06687665
3.7	24	0.0663529
3.7	25	0.06587133
3.7	26	0.06542703
3.7	27	0.06501585
3.7	28	0.06463423
3.7	29	0.06427908
3.7	30	0.06394776
3.8	1	0.3017481
3.8	2	0.1905728
3.8	3	0.1463655
3.8	4	0.1230477
3.8	5	0.1087594
3.8	6	0.09914705
3.8	7	0.09225463
3.8	8	0.0870784
3.8	9	0.08305218
3.8	10	0.07983314
3.8	11	0.07720185
